system:index,field_1,field_2,mean,p25,p50,p75,.geo
00000000000000000000,398734.140625,4212902.75,0.3325003782908122,0.3290832042694092,0.3290832042694092,0.33933472633361816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,398677.515625,4212903.25,0.359448816627264,0.3187195956707001,0.3187195956707001,0.4273308515548706,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,398740.8125,4212903.25,0.3290832042694092,0.3290832042694092,0.3290832042694092,0.3290832042694092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,398699.640625,4212903.5,0.3307818710803985,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,398674.59375,4212904.25,0.3187195956707001,0.3187195956707001,0.3187195956707001,0.3187195956707001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,398706.59375,4212905.0,0.3263930082321167,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398638.015625,4212905.25,0.30718427896499634,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,398655.265625,4212905.5,0.28591427206993103,0.28591427206993103,0.28591427206993103,0.28591427206993103,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,398768.921875,4212905.5,0.4167587459087372,0.4167587459087372,0.4167587459087372,0.4167587459087372,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,398658.328125,4212905.5,0.28591427206993103,0.28591427206993103,0.28591427206993103,0.28591427206993103,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,398717.171875,4212906.0,0.3414921760559082,0.3414921760559082,0.3414921760559082,0.3414921760559082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,398649.421875,4212906.0,0.30566499275820597,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,398676.953125,4212906.25,0.3187195956707001,0.3187195956707001,0.3187195956707001,0.3187195956707001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,398702.296875,4212906.5,0.3263930082321167,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,398639.40625,4212906.75,0.30718427896499634,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,398634.8125,4212906.75,0.30225260899617123,0.2991703152656555,0.2991703152656555,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,398753.609375,4212908.0,0.41761982440948486,0.41761982440948486,0.41761982440948486,0.41761982440948486,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,398764.453125,4212909.0,0.4167587459087372,0.4167587459087372,0.4167587459087372,0.4167587459087372,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,398746.3125,4212909.5,0.3899521306157112,0.3290832042694092,0.41761982440948486,0.41761982440948486,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,398700.46875,4212909.75,0.3263930082321167,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,398607.28125,4212909.75,0.3368103504180908,0.3368103504180908,0.3368103504180908,0.3368103504180908,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,398642.1875,4212910.0,0.30718427896499634,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,398692.921875,4212910.0,0.348337322473526,0.348337322473526,0.348337322473526,0.348337322473526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,398703.390625,4212910.25,0.3263930082321167,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,398711.046875,4212910.25,0.3263930082321167,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,398719.40625,4212910.25,0.3414921760559082,0.3414921760559082,0.3414921760559082,0.3414921760559082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,398738.046875,4212910.5,0.3290832042694092,0.3290832042694092,0.3290832042694092,0.3290832042694092,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,398683.953125,4212910.5,0.3443882922331492,0.348337322473526,0.348337322473526,0.348337322473526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,398729.6875,4212911.0,0.33652858734130864,0.3290832042694092,0.3414921760559082,0.3414921760559082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,398634.21875,4212911.25,0.3011738061904907,0.2991703152656555,0.2991703152656555,0.3031772971153259,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,398754.296875,4212911.5,0.41761982440948486,0.41761982440948486,0.41761982440948486,0.41761982440948486,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,398666.40625,4212911.5,0.29853170422407294,0.28591427206993103,0.28591427206993103,0.3187195956707001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,398676.109375,4212911.5,0.3187195956707001,0.3187195956707001,0.3187195956707001,0.3187195956707001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,398617.703125,4212911.75,0.3343010147412618,0.3368103504180908,0.3368103504180908,0.3368103504180908,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,398641.921875,4212912.25,0.30718427896499634,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,398626.328125,4212912.25,0.2991703152656555,0.2991703152656555,0.2991703152656555,0.2991703152656555,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,398604.078125,4212912.25,0.3341970191552089,0.3300156891345978,0.3368103504180908,0.3368103504180908,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,398713.28125,4212913.75,0.3298774315760685,0.3263930082321167,0.3263930082321167,0.3263930082321167,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,398739.0,4212913.75,0.3290832042694092,0.3290832042694092,0.3290832042694092,0.3290832042694092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,398748.6875,4212913.75,0.41761982440948486,0.41761982440948486,0.41761982440948486,0.41761982440948486,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,398744.859375,4212914.0,0.35859541098276776,0.3290832042694092,0.3290832042694092,0.41761982440948486,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,398640.109375,4212914.25,0.30718427896499634,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,398727.609375,4212914.25,0.3414921760559082,0.3414921760559082,0.3414921760559082,0.3414921760559082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,398720.953125,4212914.25,0.3414921760559082,0.3414921760559082,0.3414921760559082,0.3414921760559082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,398620.484375,4212914.5,0.30785647722390985,0.2991703152656555,0.2991703152656555,0.2991703152656555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,398622.84375,4212914.75,0.2991703152656555,0.2991703152656555,0.2991703152656555,0.2991703152656555,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,398683.546875,4212914.75,0.3390817828476429,0.3187195956707001,0.348337322473526,0.348337322473526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,398692.78125,4212914.75,0.348337322473526,0.348337322473526,0.348337322473526,0.348337322473526,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,398631.0625,4212915.25,0.2991703152656555,0.2991703152656555,0.2991703152656555,0.2991703152656555,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,398649.703125,4212915.5,0.3045255281031132,0.30718427896499634,0.30718427896499634,0.30718427896499634,"{""type"":""MultiPoint"",""coordinates"":[]}"
