system:index,agregado,dn_surface,idPanel,mean,municipio,p25,p50,p75,parcela,poligono,provincia,recinto,uso_sigpac,zona,.geo
00000000000000000000,0.0,36110.914390917,23:41:0:0:2:41:1,-0.0011166830700811215,41.0,-0.013267493485157393,-6.697597273159772E-4,0.0103631685487926,41.0,2.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,0.0,49096.85119628906,23:41:0:0:2:36:1,-0.0015486116699182215,41.0,-0.018025033937833102,-0.004318908902545612,0.013249671086668968,36.0,2.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,0.0,75526.3649283145,23:87:0:0:43:1:1,-0.016437197020946204,87.0,-0.033055830746889114,-0.01640448160469532,0.0020890872945288582,1.0,43.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,0.0,10557.7056532372,23:59:0:0:6:211:1,0.021522377089180984,59.0,-6.00420287810266E-4,0.015831517055630684,0.04141627252101898,211.0,6.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,0.0,159711.35436194265,23:87:0:0:42:284:2,0.002686594274236514,87.0,-0.013145391880569339,-4.595195720642549E-4,0.017193249265553167,284.0,42.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.0,104164.23413085938,23:87:0:0:43:53:2,8.913958123906388E-4,87.0,-0.017264217335182127,0.004257045446138363,0.022185672748693614,53.0,43.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.0,42889.511070595,23:5:0:0:7:325:2,-0.023927450415178755,5.0,-0.05912835417101859,-0.03043798399191186,8.195365201103483E-4,325.0,7.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.0,51978.3008406773,23:5:0:0:8:101:2,-0.05600695494384725,5.0,-0.07783042266964912,-0.05810589094956716,-0.034059329377825555,101.0,8.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.0,123165.085317685,23:32:0:0:3:101:3,-0.04982884641073308,32.0,-0.07084559391536828,-0.04830746678635478,-0.02770313261882276,101.0,3.0,23.0,3.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
