system:index,agregado,dn_surface,idPanel,mean,municipio,p25,p50,p75,parcela,poligono,provincia,recinto,uso_sigpac,zona,.geo
00000000000000000000,0.0,36110.914390917,23:41:0:0:2:41:1,-0.054118378412948066,41.0,-0.06251773005935936,-0.05212857903872462,-0.04337567463517189,41.0,2.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,0.0,49096.85119628906,23:41:0:0:2:36:1,-0.04929597119218293,41.0,-0.05600173315033317,-0.04865592246705835,-0.04242027550935745,36.0,2.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,0.0,75526.3649283145,23:87:0:0:43:1:1,-0.06794517002740819,87.0,-0.07696710549458698,-0.07054543769176923,-0.05896640044174955,1.0,43.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,0.0,10557.7056532372,23:59:0:0:6:211:1,0.002479234193576482,59.0,-0.006282479036599398,-7.851758855395019E-4,0.009707230143249035,211.0,6.0,23.0,1.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,0.0,159711.35436194265,23:87:0:0:42:284:2,-0.06778462127018595,87.0,-0.08057318993731157,-0.06884615674423566,-0.05792710377153529,284.0,42.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.0,104164.23413085938,23:87:0:0:43:53:2,-0.06195049501761113,87.0,-0.07350877672433853,-0.06416467497861486,-0.05044514059227615,53.0,43.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.0,42889.511070595,23:5:0:0:7:325:2,-0.021155535008214328,5.0,-0.03539689630270004,-0.022728796664091132,-0.011918751988559961,325.0,7.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.0,51978.3008406773,23:5:0:0:8:101:2,-0.031591268008052634,5.0,-0.04181575961410999,-0.031471022663820056,-0.021624832893862866,101.0,8.0,23.0,2.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.0,123165.085317685,23:32:0:0:3:101:3,-0.04168044003302512,32.0,-0.05152173210097728,-0.04074712981977373,-0.03179744452859961,101.0,3.0,23.0,3.0,OV,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
